t,s,n,alpha,phi,delta,k,y,c,sy,L,K,A,ln(y),ln(k),ln(c) ,g,k
0,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,1,1,0,0,-0.287682072,,1
1,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,1.15,1.15,0.139761942,0.139761942,-0.14792013,0.139761942,1.15
2,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,1.3225,1.3225,0.279523885,0.279523885,-0.008158188,0.139761942,1.3225
3,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,1.520875,1.520875,0.419285827,0.419285827,0.131603755,0.139761942,1.520875
4,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,1.74900625,1.74900625,0.55904777,0.55904777,0.271365697,0.139761942,1.74900625
5,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,2.011357188,2.011357188,0.698809712,0.698809712,0.411127639,0.139761942,2.011357188
6,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,2.313060766,2.313060766,0.838571654,0.838571654,0.550889582,0.139761942,2.313060766
7,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,2.66001988,2.66001988,0.978333597,0.978333597,0.690651524,0.139761942,2.66001988
8,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,3.059022863,3.059022863,1.118095539,1.118095539,0.830413467,0.139761942,3.059022863
9,0.25,0,0.33,1,0.1,1,1,0.75,0.25,1,3.517876292,3.517876292,1.257857481,1.257857481,0.970175409,0.139761942,3.517876292
10,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,4.045557736,4.045557736,1.397619424,1.397619424,0.966836508,0.139761942,4.045557736
11,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,5.05694717,5.05694717,1.620762975,1.620762975,1.189980059,0.223143551,5.05694717
12,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,6.321183962,6.321183962,1.843906526,1.843906526,1.41312361,0.223143551,6.321183962
13,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,7.901479953,7.901479953,2.067050078,2.067050078,1.636267162,0.223143551,7.901479953
14,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,9.876849941,9.876849941,2.290193629,2.290193629,1.859410713,0.223143551,9.876849941
15,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,12.34606243,12.34606243,2.51333718,2.51333718,2.082554264,0.223143551,12.34606243
16,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,15.43257803,15.43257803,2.736480732,2.736480732,2.305697816,0.223143551,15.43257803
17,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,19.29072254,19.29072254,2.959624283,2.959624283,2.528841367,0.223143551,19.29072254
18,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,24.11340318,24.11340318,3.182767834,3.182767834,2.751984918,0.223143551,24.11340318
19,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,30.14175397,30.14175397,3.405911386,3.405911386,2.975128469,0.223143551,30.14175397
20,0.35,0,0.33,1,0.1,1,1,0.65,0.35,1,37.67719246,37.67719246,3.629054937,3.629054937,3.198272021,0.223143551,37.67719246
