t,s,n,alpha,phi,delta,k,y,c,sy,L,K,A,ln(y),ln(k),ln(c) ,g
0,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1,6.602139779,3.103207591,1.381572266,1.887393805,1.093890193,
1,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1.02,6.937214837,3.19676776,1.411276207,1.917097746,1.123594134,0.029703941
2,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1.0404,7.28929579,3.293148721,1.440980147,1.946801687,1.153298075,0.029703941
3,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1.061208,7.659245729,3.392435521,1.470684088,1.976505628,1.183002016,0.029703941
4,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1.08243216,8.047971551,3.494715768,1.500388029,2.006209569,1.212705957,0.029703941
5,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1.104080803,8.456426177,3.600079714,1.53009197,2.03591351,1.242409898,0.029703941
6,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1.126162419,8.885610894,3.708620331,1.559795911,2.065617451,1.272113839,0.029703941
7,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1.148685668,9.336577805,3.820433393,1.589499852,2.095321392,1.30181778,0.029703941
8,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1.171659381,9.810432413,3.935617564,1.619203793,2.125025333,1.331521721,0.029703941
9,0.25,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.320729119,1.195092569,10.30833632,4.05427448,1.648907734,2.154729274,1.361225662,0.029703941
10,0.35,0.02,0.33,0.6,0.1,2.127521149,1.282916475,0.962187356,0.449020766,1.21899442,10.8315101,4.176508844,1.678611675,2.184433215,1.390929603,0.029703941
11,0.35,0.02,0.33,0.6,0.1,2.17554315,1.292401167,0.840060759,0.452340408,1.243374308,12.03438711,4.448917849,1.749162745,2.269939244,1.318379828,0.07055107
12,0.35,0.02,0.33,0.6,0.1,2.222137851,1.301470801,0.845956021,0.45551478,1.268241795,13.33314634,4.731072327,1.817646895,2.352621613,1.386863979,0.06848415
13,0.35,0.02,0.33,0.6,0.1,2.26732656,1.310145848,0.851594801,0.458551047,1.29360663,14.73298582,5.023130516,1.884191814,2.432654759,1.453408897,0.066544919
14,0.35,0.02,0.33,0.6,0.1,2.311132538,1.318445557,0.856989612,0.461455945,1.319478763,16.23933128,5.325260838,1.948915129,2.510199374,1.518132212,0.064723315
15,0.35,0.02,0.33,0.6,0.1,2.353580688,1.326388049,0.862152232,0.464235817,1.345868338,17.85785,5.63764211,2.011925408,2.585403778,1.581142492,0.06301028
16,0.35,0.02,0.33,0.6,0.1,2.394697272,1.333990401,0.86709376,0.46689664,1.372785705,19.59446541,5.960463757,2.073323041,2.658405113,1.642540125,0.061397633
17,0.35,0.02,0.33,0.6,0.1,2.434509662,1.341268718,0.871824667,0.469444051,1.400241419,21.45537236,6.293926017,2.133201015,2.729330409,1.702418099,0.059877973
18,0.35,0.02,0.33,0.6,0.1,2.473046113,1.348238209,0.876354836,0.471883373,1.428246248,23.44705301,6.638240142,2.191645599,2.798297524,1.760862683,0.058444584
19,0.35,0.02,0.33,0.6,0.1,2.51033557,1.354913242,0.880693607,0.474219635,1.456811173,25.57629359,6.993628599,2.248736959,2.865415972,1.817954043,0.05709136
20,0.35,0.02,0.33,0.6,0.1,2.546407491,1.361307409,0.884849816,0.476457593,1.485947396,27.85020179,7.360325278,2.304549695,2.930787666,1.873766779,0.055812736
21,0.35,0.02,0.33,0.6,0.1,2.581291689,1.36743357,0.88883182,0.478601749,1.515666344,30.27622507,7.738575696,2.359153328,2.99450758,1.928370412,0.054603633
22,0.35,0.02,0.33,0.6,0.1,2.615018195,1.373303908,0.89264754,0.480656368,1.545979671,32.86216974,8.128637205,2.412612732,3.05666434,1.981829816,0.053459404
23,0.35,0.02,0.33,0.6,0.1,2.647617141,1.37892997,0.89630448,0.482625489,1.576899264,35.61622092,8.530779211,2.464988521,3.11734075,2.034205605,0.052375789
24,0.35,0.02,0.33,0.6,0.1,2.679118646,1.384322706,0.899809759,0.484512947,1.608437249,38.54696353,8.945283391,2.516337397,3.176614275,2.085554481,0.051348876
25,0.35,0.02,0.33,0.6,0.1,2.709552725,1.38949251,0.903170132,0.486322379,1.640605994,41.6634041,9.372443922,2.566712466,3.234557462,2.13592955,0.050375069
26,0.35,0.02,0.33,0.6,0.1,2.738949209,1.39444925,0.906392012,0.488057237,1.673418114,44.97499375,9.81256772,2.616163519,3.291238331,2.185380603,0.049451053
27,0.35,0.02,0.33,0.6,0.1,2.767337671,1.399202303,0.909481497,0.489720806,1.706886477,48.49165219,10.26597468,2.664737288,3.346720726,2.233954372,0.048573769
28,0.35,0.02,0.33,0.6,0.1,2.79474736,1.403760582,0.912444378,0.491316204,1.741024206,52.22379284,10.73299794,2.712477681,3.401064628,2.281694765,0.047740392
29,0.35,0.02,0.33,0.6,0.1,2.821207156,1.408132565,0.915286167,0.492846398,1.77584469,56.18234919,11.21398412,2.759425986,3.454326445,2.32864307,0.046948306
30,0.35,0.02,0.33,0.6,0.1,2.846745515,1.412326321,0.918012108,0.494314212,1.811361584,60.37880241,11.70929363,2.805621072,3.506559271,2.374838155,0.046195085
31,0.35,0.02,0.33,0.6,0.1,2.871390433,1.416349528,0.920627193,0.495722335,1.847588816,64.82521028,12.21930093,2.851099552,3.557813129,2.420316636,0.04547848
32,0.35,0.02,0.33,0.6,0.1,2.895169416,1.420209503,0.923136177,0.497073326,1.884540592,69.53423751,12.74439484,2.895895952,3.608135184,2.465113036,0.0447964
33,0.35,0.02,0.33,0.6,0.1,2.918109446,1.423913214,0.925543589,0.498369625,1.922231404,74.51918756,13.28497883,2.940042852,3.657569943,2.509259936,0.0441469
34,0.35,0.02,0.33,0.6,0.1,2.940236963,1.427467305,0.927853748,0.499613557,1.960676032,79.79403599,13.84147139,2.983571017,3.706159437,2.552788101,0.043528166
35,0.35,0.02,0.33,0.6,0.1,2.961577845,1.430878112,0.930070773,0.500807339,1.999889553,85.37346544,14.41430629,3.026509526,3.753943388,2.59572661,0.042938509
36,0.35,0.02,0.33,0.6,0.1,2.982157392,1.434151677,0.93219859,0.501953087,2.039887344,91.27290237,15.00393301,3.068885876,3.800959363,2.63810296,0.04237635
37,0.35,0.02,0.33,0.6,0.1,3.002000318,1.437293767,0.934240949,0.503052818,2.080685091,97.50855549,15.61081704,3.110726091,3.847242913,2.679943174,0.041840215
38,0.35,0.02,0.33,0.6,0.1,3.02113074,1.440309886,0.936201426,0.50410846,2.122298792,104.0974563,16.23544027,3.152054813,3.892827702,2.721271897,0.041328722
39,0.35,0.02,0.33,0.6,0.1,3.039572176,1.443205289,0.938083438,0.505121851,2.164744768,111.0575012,16.87830143,3.192895393,3.937745632,2.762112477,0.04084058
40,0.35,0.02,0.33,0.6,0.1,3.057347539,1.445984998,0.939890248,0.506094749,2.208039664,118.4074967,17.53991642,3.233269971,3.982026945,2.802487055,0.040374577
41,0.35,0.02,0.33,0.6,0.1,3.07447914,1.448653806,0.941624974,0.507028832,2.252200457,126.1672051,18.22081881,3.273199547,4.025700333,2.84241663,0.039929576
42,0.35,0.02,0.33,0.6,0.1,3.090988686,1.451216298,0.943290594,0.507925704,2.297244466,134.3573945,18.92156021,3.312704055,4.068793026,2.881921139,0.039504508
43,0.35,0.02,0.33,0.6,0.1,3.106897285,1.453676854,0.944889955,0.508786899,2.343189355,142.99989,19.64271077,3.351802425,4.111330887,2.921019509,0.03909837
44,0.35,0.02,0.33,0.6,0.1,3.122225452,1.456039664,0.946425781,0.509613882,2.390053142,152.1176274,20.38485965,3.390512642,4.153338485,2.959729726,0.038710218
45,0.35,0.02,0.33,0.6,0.1,3.136993111,1.458308733,0.947900676,0.510408056,2.437854205,161.7347105,21.1486155,3.428851804,4.194839175,2.998068888,0.038339162
46,0.35,0.02,0.33,0.6,0.1,3.151219607,1.460487893,0.94931713,0.511170762,2.486611289,171.8764708,21.93460695,3.466836168,4.23585517,3.036053252,0.037984364
47,0.35,0.02,0.33,0.6,0.1,3.164923709,1.462580811,0.950677527,0.511903284,2.536343515,182.5695295,22.74348317,3.504481204,4.276407601,3.073698288,0.037645036
48,0.35,0.02,0.33,0.6,0.1,3.178123622,1.464590995,0.951984147,0.512606848,2.587070385,193.8418639,23.57591441,3.541801634,4.316516582,3.111018718,0.03732043
49,0.35,0.02,0.33,0.6,0.1,3.190836996,1.466521803,0.953239172,0.513282631,2.638811793,205.7228763,24.43259256,3.578811478,4.356201265,3.148028562,0.037009844
50,0.35,0.02,0.33,0.6,0.1,3.203080935,1.468376452,0.954444694,0.513931758,2.691588029,218.2434666,25.3142317,3.615524091,4.395479894,3.184741175,0.036712613
51,0.35,0.02,0.33,0.6,0.1,3.214872009,1.470158018,0.955602712,0.514555306,2.74541979,231.4361085,26.22156877,3.651952198,4.434369854,3.221169282,0.036428107
52,0.35,0.02,0.33,0.6,0.1,3.226226265,1.471869451,0.956715143,0.515154308,2.800328185,245.3349296,27.15536417,3.68810793,4.472887717,3.257325014,0.036155732
53,0.35,0.02,0.33,0.6,0.1,3.237159237,1.473513574,0.957783823,0.515729751,2.856334749,259.9757956,28.11640236,3.724002855,4.511049286,3.293219939,0.035894925
54,0.35,0.02,0.33,0.6,0.1,3.247685958,1.475093092,0.95881051,0.516282582,2.913461444,275.3963987,29.1054926,3.759648006,4.548869635,3.32886509,0.035645152
