"periods","k","y","c","sy","A","L","L_A","g","lnk","lny","lnc","gy"
0,1,0.973,0.73,0.243,1,1,0.04,NA,0,-0.027,-0.315,NA
1,1.042,0.986,0.74,0.247,1.076,1.02,0.041,0.076,0.114,0.059,-0.228,0.087
2,1.079,0.998,0.748,0.249,1.157,1.04,0.042,0.075,0.222,0.144,-0.144,0.084
3,1.114,1.008,0.756,0.252,1.243,1.061,0.042,0.074,0.326,0.226,-0.062,0.082
4,1.146,1.018,0.763,0.254,1.335,1.082,0.043,0.074,0.425,0.306,0.019,0.08
5,1.175,1.026,0.77,0.257,1.432,1.104,0.044,0.073,0.52,0.385,0.097,0.079
6,1.201,1.034,0.775,0.258,1.536,1.126,0.045,0.072,0.612,0.462,0.175,0.077
7,1.225,1.041,0.78,0.26,1.646,1.149,0.046,0.072,0.702,0.538,0.25,0.076
8,1.248,1.047,0.785,0.262,1.763,1.172,0.047,0.071,0.788,0.613,0.325,0.074
9,1.268,1.052,0.789,0.263,1.887,1.195,0.048,0.07,0.873,0.686,0.398,0.073
10,1.287,1.058,0.793,0.264,2.018,1.219,0.049,0.07,0.955,0.758,0.47,0.072
11,1.305,1.062,0.797,0.266,2.157,1.243,0.05,0.069,1.035,0.829,0.542,0.071
12,1.321,1.067,0.8,0.267,2.305,1.268,0.051,0.069,1.114,0.9,0.612,0.07
13,1.336,1.071,0.803,0.268,2.462,1.294,0.052,0.068,1.191,0.969,0.682,0.07
14,1.35,1.074,0.806,0.269,2.628,1.319,0.053,0.067,1.267,1.038,0.75,0.069
15,1.364,1.078,0.808,0.269,2.804,1.346,0.054,0.067,1.341,1.106,0.818,0.068
16,1.376,1.081,0.811,0.27,2.991,1.373,0.055,0.066,1.415,1.173,0.886,0.067
17,1.387,1.084,0.813,0.271,3.188,1.4,0.056,0.066,1.487,1.24,0.952,0.067
18,1.398,1.087,0.815,0.272,3.397,1.428,0.057,0.066,1.558,1.306,1.019,0.066
19,1.408,1.089,0.817,0.272,3.619,1.457,0.058,0.065,1.628,1.372,1.084,0.065
20,1.418,1.092,0.819,0.273,3.853,1.486,0.059,0.065,1.698,1.437,1.149,0.065
21,1.427,1.094,0.821,0.274,4.101,1.516,0.061,0.064,1.767,1.501,1.213,0.064
22,1.436,1.096,0.822,0.274,4.363,1.546,0.062,0.064,1.835,1.565,1.277,0.064
23,1.444,1.098,0.824,0.275,4.64,1.577,0.063,0.064,1.902,1.628,1.341,0.063
24,1.451,1.1,0.825,0.275,4.933,1.608,0.064,0.063,1.968,1.691,1.404,0.063
25,1.459,1.102,0.827,0.276,5.242,1.641,0.066,0.063,2.034,1.754,1.466,0.063
26,1.466,1.104,0.828,0.276,5.57,1.673,0.067,0.062,2.1,1.816,1.528,0.062
27,1.472,1.106,0.829,0.276,5.916,1.707,0.068,0.062,2.164,1.878,1.59,0.062
28,1.479,1.107,0.83,0.277,6.281,1.741,0.07,0.062,2.229,1.939,1.652,0.061
29,1.485,1.109,0.831,0.277,6.667,1.776,0.071,0.061,2.293,2,1.713,0.061
30,1.491,1.11,0.833,0.278,7.075,1.811,0.072,0.061,2.356,2.061,1.773,0.061
31,1.496,1.111,0.834,0.278,7.505,1.848,0.074,0.061,2.419,2.121,1.834,0.06
32,1.502,1.113,0.835,0.278,7.959,1.885,0.075,0.061,2.481,2.181,1.894,0.06
33,1.507,1.114,0.836,0.279,8.439,1.922,0.077,0.06,2.543,2.241,1.953,0.06
34,1.512,1.115,0.836,0.279,8.945,1.961,0.078,0.06,2.605,2.3,2.013,0.059
35,1.517,1.116,0.837,0.279,9.479,2,0.08,0.06,2.666,2.359,2.072,0.059
36,1.522,1.118,0.838,0.279,10.042,2.04,0.082,0.059,2.727,2.418,2.13,0.059
